net,length_um
_0687_,4.36µm
_0714_,4.36µm
_1680_,4.36µm
_0002_,4.34µm
_0244_,4.34µm
_0446_,4.34µm
_0826_,4.34µm
_0891_,4.34µm
_1033_,4.34µm
_1052_,4.34µm
_1826_,4.34µm
_2107_,4.34µm
systolic_unit_0.out_acc_0_r1\[12\],4.34µm
systolic_unit_0.out_acc_0_r1\[2\],4.34µm
systolic_unit_0.out_acc_0_r1\[7\],4.34µm
_1273_,4.325µm
_0805_,4.32µm
_0177_,4.27µm
_0367_,4.265µm
_0977_,4.24µm
net348,4.24µm
_1028_,4.225µm
_0474_,4.22µm
_0853_,4.22µm
_1214_,4.22µm
_0643_,4.2µm
_1882_,4.2µm
systolic_unit_0.out_acc_0_r1\[14\],4.2µm
_0027_,4.15µm
_0075_,4.15µm
_0137_,4.15µm
_0203_,4.15µm
_0237_,4.12µm
_0282_,4.12µm
_0392_,4.12µm
_0415_,4.12µm
net394,4.12µm
_0046_,4.1µm
_1086_,4.1µm
_1752_,4.1µm
_2106_,4.1µm
_0139_,4.08µm
_0155_,4.08µm
_0395_,4.08µm
_0398_,4.08µm
_1855_,4.08µm
_1930_,4.08µm
net27,4.08µm
_1730_,4.06µm
_0868_,4.05µm
_1435_,4.03µm
_0372_,4.02µm
_0659_,4.02µm
_0746_,4.02µm
_0793_,4.02µm
_1084_,4.02µm
_1349_,4.02µm
_2084_,4.02µm
systolic_unit_0.out_acc_0_r1\[15\],4.02µm
net419,4.02µm
_0284_,4µm
_0297_,4µm
_0334_,4µm
_0353_,4µm
_0411_,4µm
_0848_,4µm
_1030_,4µm
_1331_,4µm
_1614_,4µm
_1836_,4µm
_1931_,4µm
_2048_,4µm
_1683_,3.98µm
_1780_,3.98µm
net361,3.965µm
_1150_,3.905µm
_1099_,3.9µm
_1320_,3.9µm
_1943_,3.9µm
net86,3.9µm
_0860_,3.88µm
_0962_,3.88µm
_1172_,3.88µm
_1518_,3.88µm
_1553_,3.88µm
_1604_,3.88µm
_1606_,3.88µm
_1651_,3.88µm
_1707_,3.88µm
_1976_,3.88µm
systolic_unit_0.out_acc_1_r1\[10\],3.88µm
net428,3.88µm
_0335_,3.86µm
_0900_,3.86µm
_0243_,3.83µm
_0035_,3.81µm
_0973_,3.78µm
_1306_,3.78µm
_1357_,3.78µm
net345,3.78µm
_0819_,3.76µm
_1400_,3.76µm
_1627_,3.76µm
_1764_,3.76µm
net362,3.76µm
net329,3.74µm
net337,3.74µm
_0159_,3.69µm
_0168_,3.69µm
_0831_,3.68µm
_1394_,3.68µm
_1616_,3.68µm
_0310_,3.66µm
_0385_,3.66µm
_0387_,3.66µm
_1155_,3.64µm
_1317_,3.64µm
_0043_,3.61µm
_0079_,3.61µm
_0016_,3.59µm
_0120_,3.59µm
_0045_,3.57µm
_0412_,3.56µm
_0970_,3.56µm
_1247_,3.56µm
_1534_,3.56µm
_1729_,3.56µm
_1751_,3.56µm
net376,3.56µm
net402,3.56µm
net423,3.56µm
_0156_,3.54µm
_0271_,3.54µm
_0327_,3.54µm
_0347_,3.54µm
_0595_,3.54µm
_1232_,3.54µm
_1555_,3.54µm
_1580_,3.54µm
_1622_,3.54µm
_1659_,3.54µm
_2002_,3.54µm
systolic_unit_0.out_acc_1_r1\[11\],3.54µm
net36,3.54µm
net415,3.54µm
_1500_,3.52µm
_0263_,3.505µm
_0063_,3.47µm
_0517_,3.44µm
_0675_,3.44µm
_0702_,3.44µm
_1721_,3.44µm
_1739_,3.44µm
_2073_,3.44µm
_0471_,3.42µm
_0553_,3.42µm
_0603_,3.42µm
_0705_,3.42µm
_0940_,3.42µm
_0959_,3.42µm
_1485_,3.42µm
_1652_,3.42µm
_1772_,3.42µm
_1909_,3.42µm
net334,3.42µm
_0383_,3.32µm
_1584_,3.32µm
_0227_,3.3µm
_0501_,3.3µm
_0620_,3.3µm
_0879_,3.3µm
_0267_,3.275µm
_1540_,3.22µm
_1592_,3.22µm
systolic_unit_0.out_acc_1_r1\[7\],3.22µm
net411,3.22µm
_0285_,3.2µm
_0378_,3.2µm
_0396_,3.2µm
systolic_unit_0.out_acc_0_r1\[3\],3.2µm
_0719_,3.18µm
_0189_,3.13µm
_0946_,3.11µm
_0355_,3.1µm
_0364_,3.1µm
_0515_,3.1µm
_0877_,3.1µm
_0949_,3.1µm
_1144_,3.1µm
_1618_,3.1µm
_1661_,3.1µm
_1676_,3.1µm
_1922_,3.1µm
_1954_,3.1µm
_0247_,3.08µm
_0251_,3.08µm
_0274_,3.08µm
_0296_,3.08µm
_0309_,3.08µm
_0377_,3.08µm
_0495_,3.08µm
_0518_,3.08µm
_0593_,3.08µm
_0706_,3.08µm
_0783_,3.08µm
_0990_,3.08µm
_1464_,3.08µm
_1482_,3.08µm
_1725_,3.08µm
_1782_,3.08µm
_1845_,3.08µm
_1881_,3.08µm
_1919_,3.08µm
_1964_,3.08µm
_0197_,3.06µm
_1979_,3.06µm
_0158_,3.03µm
_1347_,2.98µm
_1840_,2.98µm
_1841_,2.98µm
_1926_,2.98µm
net336,2.98µm
_0064_,2.96µm
_0463_,2.96µm
_0572_,2.96µm
_0617_,2.96µm
_0984_,2.96µm
_1009_,2.96µm
_1074_,2.96µm
_1169_,2.96µm
_1350_,2.96µm
_1387_,2.96µm
_1462_,2.96µm
_1484_,2.96µm
_1545_,2.96µm
_1625_,2.96µm
_1647_,2.96µm
_1949_,2.96µm
net393,2.96µm
_0012_,2.89µm
systolic_unit_0.out_acc_0_r1\[10\],2.86µm
systolic_unit_0.out_acc_1_r1\[14\],2.86µm
net343,2.86µm
_0024_,2.84µm
_0053_,2.84µm
_0068_,2.84µm
_0081_,2.84µm
_0097_,2.84µm
_0121_,2.84µm
_0157_,2.84µm
_0171_,2.84µm
_0218_,2.84µm
_0234_,2.84µm
_0290_,2.84µm
_0664_,2.84µm
_1719_,2.84µm
_0180_,2.77µm
_0212_,2.77µm
_0299_,2.765µm
net322,2.76µm
_0280_,2.74µm
_0304_,2.74µm
_0306_,2.74µm
_0680_,2.74µm
systolic_unit_0.out_acc_0_r1\[13\],2.74µm
net294,2.74µm
net404,2.74µm
_0167_,2.72µm
_0060_,2.69µm
_0164_,2.69µm
_0186_,2.69µm
_0207_,2.69µm
_0076_,2.67µm
_0100_,2.67µm
_0200_,2.67µm
_0324_,2.64µm
_0423_,2.64µm
_0768_,2.64µm
_0943_,2.64µm
_1358_,2.64µm
_1396_,2.64µm
_1397_,2.64µm
_2032_,2.64µm
_2124_,2.64µm
systolic_unit_0.out_acc_0_r1\[5\],2.64µm
systolic_unit_0.out_acc_1_r1\[2\],2.64µm
net364,2.64µm
_0008_,2.62µm
_0174_,2.62µm
_0281_,2.62µm
_0307_,2.62µm
_0330_,2.62µm
_0344_,2.62µm
_0388_,2.62µm
_0403_,2.62µm
_0407_,2.62µm
_0562_,2.62µm
_0857_,2.62µm
_1092_,2.62µm
_1419_,2.62µm
_1600_,2.62µm
_1601_,2.62µm
_1740_,2.62µm
_1791_,2.62µm
_1812_,2.62µm
_1846_,2.62µm
_2081_,2.62µm
net297,2.62µm
net365,2.62µm
_1293_,2.52µm
_1408_,2.52µm
_1564_,2.52µm
_1790_,2.52µm
_1832_,2.52µm
_1833_,2.52µm
out_c_valid,2.52µm
_0085_,2.5µm
_0098_,2.5µm
_0108_,2.5µm
_0430_,2.5µm
_0542_,2.5µm
_0998_,2.5µm
_1060_,2.5µm
_1072_,2.5µm
_1135_,2.5µm
_1385_,2.5µm
_1390_,2.5µm
_1640_,2.5µm
_1775_,2.5µm
_1781_,2.5µm
_1801_,2.5µm
_1933_,2.5µm
net351,2.5µm
_1822_,2.4µm
_1838_,2.4µm
_0014_,2.38µm
_0018_,2.38µm
_0020_,2.38µm
_0078_,2.38µm
_0095_,2.38µm
_0101_,2.38µm
_0107_,2.38µm
_0111_,2.38µm
_0133_,2.38µm
_0146_,2.38µm
_0153_,2.38µm
_0170_,2.38µm
_0172_,2.38µm
_0176_,2.38µm
_0185_,2.38µm
_0190_,2.38µm
_0236_,2.38µm
_0239_,2.38µm
_0365_,2.38µm
_0448_,2.38µm
_0612_,2.38µm
net280,2.38µm
_0757_,2.3µm
_0766_,2.3µm
_1075_,2.3µm
_1430_,2.3µm
_1679_,2.3µm
systolic_unit_0.out_acc_0_r1\[1\],2.3µm
net331,2.3µm
net344,2.3µm
net346,2.3µm
net349,2.3µm
net354,2.3µm
net355,2.3µm
net422,2.3µm
_0122_,2.28µm
_0126_,2.28µm
_0175_,2.28µm
_0214_,2.28µm
_0368_,2.28µm
_0382_,2.28µm
_0386_,2.28µm
_0408_,2.28µm
_0409_,2.28µm
_1491_,2.28µm
_2030_,2.28µm
_0007_,2.23µm
_0019_,2.23µm
_0028_,2.23µm
_0032_,2.23µm
_0033_,2.23µm
_0034_,2.23µm
_0040_,2.23µm
_0044_,2.23µm
_0049_,2.23µm
_0065_,2.23µm
_0071_,2.23µm
_0084_,2.23µm
_0088_,2.23µm
_0106_,2.23µm
_0119_,2.23µm
_0130_,2.23µm
_0138_,2.23µm
_0142_,2.23µm
_0147_,2.23µm
_0149_,2.23µm
_0151_,2.23µm
_0154_,2.23µm
_0169_,2.23µm
_0178_,2.23µm
_0179_,2.23µm
_0181_,2.23µm
_0204_,2.23µm
_0205_,2.23µm
_0224_,2.23µm
_0228_,2.23µm
_0230_,2.23µm
_0231_,2.23µm
_0026_,2.21µm
_0050_,2.21µm
_0123_,2.21µm
_1550_,2.195µm
_0260_,2.18µm
_0291_,2.18µm
_0305_,2.18µm
_0322_,2.18µm
_0326_,2.18µm
_0373_,2.18µm
_0374_,2.18µm
_0380_,2.18µm
_0433_,2.18µm
_0479_,2.18µm
_0610_,2.18µm
_0707_,2.18µm
_0840_,2.18µm
_1043_,2.18µm
_1166_,2.18µm
_1542_,2.18µm
_1712_,2.18µm
_1766_,2.18µm
_1797_,2.18µm
_1818_,2.18µm
_0036_,2.16µm
_0067_,2.16µm
_0134_,2.16µm
_0165_,2.16µm
_0250_,2.16µm
_0318_,2.16µm
_0394_,2.16µm
_0400_,2.16µm
_0576_,2.16µm
_0745_,2.16µm
_0782_,2.16µm
_0802_,2.16µm
_0827_,2.16µm
_0856_,2.16µm
_0875_,2.16µm
_0898_,2.16µm
_0941_,2.16µm
_1241_,2.16µm
_1351_,2.16µm
_1388_,2.16µm
_1401_,2.16µm
_1509_,2.16µm
_1588_,2.16µm
_1617_,2.16µm
_1904_,2.16µm
_1975_,2.16µm
systolic_unit_0.out_acc_1_r1\[4\],2.16µm
_0270_,2.08µm
_0629_,2.06µm
_0010_,2.04µm
_0039_,2.04µm
_0066_,2.04µm
_0102_,2.04µm
_0331_,2.04µm
_0561_,2.04µm
_0565_,2.04µm
_0571_,2.04µm
_0579_,2.04µm
_0650_,2.04µm
_0769_,2.04µm
_0847_,2.04µm
_0944_,2.04µm
_1199_,2.04µm
_1311_,2.04µm
_1372_,2.04µm
_1629_,2.04µm
_1839_,2.04µm
_1906_,2.04µm
systolic_unit_0.out_acc_0_r1\[9\],2.04µm
_0266_,2.025µm
_0005_,1.97µm
net333,1.94µm
_0406_,1.845µm
_0257_,1.84µm
_0294_,1.84µm
_0744_,1.84µm
_1258_,1.84µm
_1332_,1.84µm
_1375_,1.84µm
_1715_,1.84µm
systolic_unit_0.out_acc_1_r1\[3\],1.84µm
_0559_,1.825µm
_0003_,1.82µm
_0009_,1.82µm
_0023_,1.82µm
_0058_,1.82µm
_0086_,1.82µm
_0087_,1.82µm
_0124_,1.82µm
_0148_,1.82µm
_0195_,1.82µm
_0213_,1.82µm
_0226_,1.82µm
_0254_,1.82µm
_0286_,1.82µm
_0289_,1.82µm
_0293_,1.82µm
_0302_,1.82µm
_0391_,1.82µm
_1569_,1.82µm
_1698_,1.82µm
_0055_,1.75µm
_1858_,1.725µm
_0574_,1.72µm
_0665_,1.72µm
_0881_,1.72µm
_1443_,1.72µm
_2024_,1.72µm
_2113_,1.72µm
switch,1.72µm
_0090_,1.7µm
_0273_,1.7µm
_0381_,1.7µm
_0393_,1.7µm
_0556_,1.7µm
_0849_,1.7µm
_0852_,1.7µm
_0948_,1.7µm
_1117_,1.7µm
_1428_,1.7µm
_1441_,1.7µm
_1674_,1.7µm
net12,1.7µm
_0269_,1.685µm
_1864_,1.56µm
_0410_,1.54µm
systolic_unit_0.out_acc_0_r1\[0\],1.48µm
systolic_unit_0.out_acc_1_r1\[0\],1.48µm
systolic_unit_0.out_acc_1_r1\[12\],1.48µm
systolic_unit_0.out_acc_1_r1\[15\],1.48µm
systolic_unit_0.out_acc_1_r1\[9\],1.48µm
_0597_,1.38µm
_0986_,1.38µm
_1402_,1.38µm
_1815_,1.38µm
_0047_,1.36µm
_0052_,1.36µm
_0062_,1.36µm
_0069_,1.36µm
_0070_,1.36µm
_0103_,1.36µm
_0110_,1.36µm
_0144_,1.36µm
_0145_,1.36µm
_0150_,1.36µm
_0160_,1.36µm
_0162_,1.36µm
_0187_,1.36µm
_0191_,1.36µm
_0192_,1.36µm
_0199_,1.36µm
_0202_,1.36µm
_0210_,1.36µm
_0225_,1.36µm
_0229_,1.36µm
_0238_,1.36µm
_0246_,1.36µm
_0301_,1.36µm
_0354_,1.36µm
_0384_,1.36µm
net383,1.36µm
_1411_,1.26µm
_1445_,1.26µm
_1496_,1.26µm
_1594_,1.26µm
_1660_,1.26µm
_1675_,1.26µm
_1757_,1.26µm
_0952_,1.14µm
_0968_,1.14µm
_1633_,1.14µm
_1996_,1.14µm
_0935_,1.02µm
systolic_unit_0.out_acc_0_r1\[4\],1.02µm
_0791_,0.92µm
_0817_,0.92µm
_1486_,0.92µm
_1717_,0.92µm
_1007_,0.8µm
_0268_,0.46µm
_0587_,0.46µm
_0645_,0.46µm
_1467_,0.46µm
_1810_,0.46µm
_1862_,0.46µm
net396,0.46µm
