Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_90_533,VPWR,li1,253.4600,258.4000,1.799933
FILLER_90_531,VPWR,li1,250.0100,258.4000,1.799933
FILLER_90_525,VPWR,li1,248.4000,258.4000,1.799933
FILLER_90_513,VPWR,li1,244.2600,258.4000,1.799933
FILLER_90_501,VPWR,li1,238.7400,258.4000,1.799933
FILLER_90_489,VPWR,li1,233.2200,258.4000,1.799933
FILLER_90_477,VPWR,li1,227.7000,258.4000,1.799933
FILLER_90_464,VPWR,li1,221.7200,258.4000,1.799933
FILLER_90_452,VPWR,li1,216.2000,258.4000,1.799933
FILLER_90_440,VPWR,li1,210.6800,258.4000,1.799933
FILLER_90_428,VPWR,li1,205.1600,258.4000,1.799933
FILLER_90_399,VPWR,li1,190.9000,258.4000,1.799935
FILLER_90_395,VPWR,li1,187.4500,258.4000,1.799936
FILLER_90_383,VPWR,li1,184.4600,258.4000,1.799937
FILLER_90_376,VPWR,li1,178.7100,258.4000,1.799940
FILLER_90_362,VPWR,li1,172.5000,258.4000,1.799926
FILLER_90_325,VPWR,li1,155.2500,258.4000,1.799870
FILLER_90_321,VPWR,li1,154.1000,258.4000,1.799870
FILLER_90_306,VPWR,li1,146.7400,258.4000,1.799860
FILLER_90_297,VPWR,li1,142.8300,258.4000,1.799857
FILLER_90_285,VPWR,li1,139.3800,258.4000,1.799855
FILLER_90_251,VPWR,li1,121.2100,258.4000,1.799848
FILLER_90_245,VPWR,li1,118.9100,258.4000,1.799850
FILLER_90_233,VPWR,li1,115.4600,258.4000,1.799854
FILLER_90_221,VPWR,li1,109.9400,258.4000,1.799862
FILLER_90_209,VPWR,li1,104.4200,258.4000,1.799868
FILLER_90_197,VPWR,li1,98.9000,258.4000,1.799876
FILLER_90_195,VPWR,li1,95.4500,258.4000,1.799883
FILLER_90_189,VPWR,li1,93.8400,258.4000,1.799883
FILLER_90_177,VPWR,li1,89.7000,258.4000,1.799889
FILLER_90_165,VPWR,li1,84.1800,258.4000,1.799898
FILLER_90_153,VPWR,li1,78.6600,258.4000,1.799904
FILLER_90_141,VPWR,li1,73.1400,258.4000,1.799912
FILLER_90_139,VPWR,li1,69.6900,258.4000,1.799919
FILLER_90_133,VPWR,li1,68.0800,258.4000,1.799919
FILLER_90_121,VPWR,li1,63.9400,258.4000,1.799925
FILLER_90_109,VPWR,li1,58.4200,258.4000,1.799934
FILLER_90_97,VPWR,li1,52.9000,258.4000,1.799941
FILLER_90_85,VPWR,li1,47.3800,258.4000,1.799948
FILLER_90_83,VPWR,li1,43.9300,258.4000,1.799955
FILLER_90_77,VPWR,li1,42.3200,258.4000,1.799955
FILLER_90_65,VPWR,li1,38.1800,258.4000,1.799961
FILLER_90_53,VPWR,li1,32.6600,258.4000,1.799969
FILLER_90_41,VPWR,li1,27.1400,258.4000,1.799978
FILLER_90_29,VPWR,li1,21.6200,258.4000,1.799986
FILLER_90_27,VPWR,li1,18.1700,258.4000,1.799986
FILLER_90_15,VPWR,li1,15.1800,258.4000,1.799986
FILLER_90_3,VPWR,li1,9.6600,258.4000,1.799986
FILLER_89_553,VPWR,li1,260.1300,252.9600,1.799927
