Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_91_503,VGND,li1,237.1300,261.1200,0.000063
FILLER_91_497,VGND,li1,235.5200,261.1200,0.000063
FILLER_91_485,VGND,li1,231.3800,261.1200,0.000063
FILLER_91_473,VGND,li1,225.8600,261.1200,0.000063
FILLER_91_461,VGND,li1,220.3400,261.1200,0.000063
FILLER_91_449,VGND,li1,214.8200,261.1200,0.000063
FILLER_91_445,VGND,li1,210.9100,261.1200,0.000063
FILLER_91_437,VGND,li1,208.3800,261.1200,0.000063
FILLER_91_425,VGND,li1,203.7800,261.1200,0.000063
FILLER_91_413,VGND,li1,195.7300,261.1200,0.000062
FILLER_91_391,VGND,li1,185.6100,261.1200,0.000054
FILLER_91_385,VGND,li1,184.0000,261.1200,0.000054
FILLER_91_364,VGND,li1,173.1900,261.1200,0.000073
FILLER_91_328,VGND,li1,158.2400,261.1200,0.000106
FILLER_91_305,VGND,li1,146.5100,261.1200,0.000113
FILLER_91_293,VGND,li1,143.0600,261.1200,0.000113
FILLER_91_281,VGND,li1,137.5400,261.1200,0.000114
FILLER_91_278,VGND,li1,133.8600,261.1200,0.000115
FILLER_91_270,VGND,li1,131.5600,261.1200,0.000115
FILLER_91_225,VGND,li1,109.4800,261.1200,0.000105
FILLER_91_223,VGND,li1,108.3300,261.1200,0.000103
FILLER_91_217,VGND,li1,106.7200,261.1200,0.000103
FILLER_91_205,VGND,li1,102.5800,261.1200,0.000098
FILLER_91_193,VGND,li1,97.0600,261.1200,0.000091
FILLER_91_181,VGND,li1,91.5400,261.1200,0.000086
FILLER_91_169,VGND,li1,86.0200,261.1200,0.000080
FILLER_91_167,VGND,li1,82.5700,261.1200,0.000074
FILLER_91_161,VGND,li1,80.9600,261.1200,0.000074
FILLER_91_149,VGND,li1,76.8200,261.1200,0.000069
FILLER_91_137,VGND,li1,71.3000,261.1200,0.000062
FILLER_91_125,VGND,li1,65.7800,261.1200,0.000057
FILLER_91_113,VGND,li1,60.2600,261.1200,0.000051
FILLER_91_111,VGND,li1,56.8100,261.1200,0.000045
FILLER_91_105,VGND,li1,55.2000,261.1200,0.000045
FILLER_91_93,VGND,li1,51.0600,261.1200,0.000040
FILLER_91_81,VGND,li1,45.5400,261.1200,0.000033
FILLER_91_69,VGND,li1,40.0200,261.1200,0.000028
FILLER_91_57,VGND,li1,34.5000,261.1200,0.000022
FILLER_91_55,VGND,li1,31.0500,261.1200,0.000017
FILLER_91_51,VGND,li1,29.9000,261.1200,0.000017
FILLER_91_39,VGND,li1,26.2200,261.1200,0.000011
FILLER_91_27,VGND,li1,20.7000,261.1200,0.000011
FILLER_91_15,VGND,li1,15.1800,261.1200,0.000011
FILLER_91_3,VGND,li1,9.6600,261.1200,0.000011
FILLER_90_553,VGND,li1,260.1300,255.6800,0.000043
FILLER_90_545,VGND,li1,258.0600,255.6800,0.000043
FILLER_90_533,VGND,li1,253.4600,255.6800,0.000043
FILLER_90_531,VGND,li1,250.0100,255.6800,0.000043
FILLER_90_525,VGND,li1,248.4000,255.6800,0.000043
FILLER_90_513,VGND,li1,244.2600,255.6800,0.000043
FILLER_90_501,VGND,li1,238.7400,255.6800,0.000043
FILLER_90_489,VGND,li1,233.2200,255.6800,0.000043
FILLER_90_477,VGND,li1,227.7000,255.6800,0.000043
FILLER_90_464,VGND,li1,221.7200,255.6800,0.000043
FILLER_90_452,VGND,li1,216.2000,255.6800,0.000043
FILLER_90_440,VGND,li1,210.6800,255.6800,0.000042
FILLER_90_428,VGND,li1,205.1600,255.6800,0.000041
FILLER_90_399,VGND,li1,190.9000,255.6800,0.000035
FILLER_90_395,VGND,li1,187.4500,255.6800,0.000033
FILLER_90_383,VGND,li1,184.4600,255.6800,0.000031
FILLER_90_376,VGND,li1,178.7100,255.6800,0.000027
FILLER_90_362,VGND,li1,172.5000,255.6800,0.000036
FILLER_90_325,VGND,li1,155.2500,255.6800,0.000062
FILLER_90_321,VGND,li1,154.1000,255.6800,0.000064
FILLER_90_306,VGND,li1,146.7400,255.6800,0.000069
FILLER_90_297,VGND,li1,142.8300,255.6800,0.000072
FILLER_90_285,VGND,li1,139.3800,255.6800,0.000073
FILLER_90_251,VGND,li1,121.2100,255.6800,0.000072
FILLER_90_245,VGND,li1,118.9100,255.6800,0.000070
FILLER_90_233,VGND,li1,115.4600,255.6800,0.000069
FILLER_90_221,VGND,li1,109.9400,255.6800,0.000064
FILLER_90_209,VGND,li1,104.4200,255.6800,0.000061
FILLER_90_197,VGND,li1,98.9000,255.6800,0.000058
FILLER_90_195,VGND,li1,95.4500,255.6800,0.000054
FILLER_90_189,VGND,li1,93.8400,255.6800,0.000054
FILLER_90_177,VGND,li1,89.7000,255.6800,0.000051
FILLER_90_165,VGND,li1,84.1800,255.6800,0.000047
FILLER_90_153,VGND,li1,78.6600,255.6800,0.000044
FILLER_90_141,VGND,li1,73.1400,255.6800,0.000040
FILLER_90_139,VGND,li1,69.6900,255.6800,0.000036
FILLER_90_133,VGND,li1,68.0800,255.6800,0.000036
FILLER_90_121,VGND,li1,63.9400,255.6800,0.000034
FILLER_90_109,VGND,li1,58.4200,255.6800,0.000029
FILLER_90_97,VGND,li1,52.9000,255.6800,0.000026
FILLER_90_85,VGND,li1,47.3800,255.6800,0.000022
FILLER_90_83,VGND,li1,43.9300,255.6800,0.000019
